

本Wiki中译名以官方Wiki中文语言包为准
射弹 ID
跳到导航跳到搜索
主文章：数据 ID
此页面包含有泰拉瑞亚游戏代码中用于引用射弹的内部射弹 ID 的可排序列表。此信息对于研究性目的或开发诸如模组之类的第三方软件会很有用。


目录
1	ID 列表
2	前代主机版/3DS版
3	历史
ID 列表
射弹	来源
ID	图像	名称	内部名称
344	North Pole Snowflake.png	北极雪花	NorthPoleSnowflake	北极
345	Pine Needle.png	松针（敌方）	PineNeedleHostile	常绿尖叫怪
346	Everscream Ornament.png	装饰（敌方）	OrnamentHostile	常绿尖叫怪
347	Everscream Ornament Fragment.png	装饰弹片	OrnamentHostileShrapnel	常绿尖叫怪
348	Frost Wave.png	寒霜波	FrostWave	冰雪女王
349	Frost Shard.gif	寒霜碎块	FrostShard	冰雪女王
350	Missile.png	导弹	Missile	圣诞坦克
351	Santa-NK1 Present.png	礼物	Present	圣诞坦克
352	Santa-NK1 Spike.png	尖刺	Spike	圣诞坦克
353	Baby Grinch.png	格林奇宝宝	BabyGrinch	格林奇宝宝的恶作剧口哨
354	Crimsand Ball.png	猩红沙球	CrimsandBallGun	使用猩红沙的沙枪
355	Venom Fang.png	毒液尖牙	VenomFang	毒液法杖
356	Spectre Mask.png	幽灵怒气	SpectreWrath	幽灵盔甲套装奖励（使用幽灵面具）
357	Pulse Bow.png	脉冲矢	PulseBolt	使用任意类型箭的脉冲弓
358	Water Gun.png	水枪	WaterGun	水枪
359	Frost Bolt.png	寒霜矢	FrostBoltStaff	寒霜法杖
360	Bobber (Wooden).png	浮标（木）	BobberWooden	木钓竿
361	Bobber (Reinforced).png	浮标（强化）	BobberReinforced	强化钓竿
362	Bobber (Fiberglass).png	浮标（玻璃钢）	BobberFiberglass	玻璃钢钓竿
363	Bobber (Fisher of Souls).png	浮标（灵魂钓手）	BobberFisherOfSouls	灵魂钓手
364	Bobber (Golden).png	浮标（金）	BobberGolden	金钓竿
365	Bobber (Mechanic's).png	浮标（机械师）	BobberMechanics	机械师钓竿
366	Bobber (Sitting Duck's).png	浮标（冤大头）	BobbersittingDuck	冤大头钓竿
367	Obsidian Swordfish (projectile).png	黑曜石剑鱼	ObsidianSwordfish	黑曜石剑鱼
368	Swordfish (projectile).png	剑鱼	Swordfish	剑鱼
369	Sawtooth Shark.png	锯齿鲨	SawtoothShark	锯齿鲨
370	Love Potion.png	爱情药水	LovePotion	爱情药水（抛出的）
371	Stink Potion.png	恶臭药水	FoulPotion	臭味药水（抛出的）
372	Fish Hook (projectile).png	鱼钩	FishHook	鱼钩
373	Hornet (minion).gif	黄蜂	Hornet	黄蜂法杖
374	Hornet Stinger.png	黄蜂毒刺	HornetStinger	黄蜂（仆从）
375	Flying Imp.gif	飞行小鬼	FlyingImp	小鬼法杖
376	Flames (friendly) (projectile).png	小鬼火球	ImpFireball	飞行小鬼（仆从）
377	Spider Turret.png	蜘蛛炮塔	SpiderHiver	蜘蛛女王法杖
378	Spider Egg (projectile).png	蜘蛛卵	SpiderEgg	蜘蛛炮塔
379	Baby Spider.png	蜘蛛宝宝	BabySpider	蜘蛛炮塔
380	Zephyr Fish (pet).png	和风鱼	ZephyrFish	和风鱼
381	Bobber (Fleshcatcher's).png	浮标（捕肉手）	BobberFleshcatcher	捕肉手
382	Bobber (Hotline's).png	浮标（熔线）	BobberHotline	熔线钓钩
383	Anchor.png	锚	Anchor	锚
384	Cthulhunado.gif	鲨鱼旋风	Sharknado	克苏鲁旋风
385	Sharknado Bolt.gif	鲨鱼旋风矢	SharknadoBolt	猪龙鱼公爵
386	Cthulhunado.gif	克苏鲁旋风	Cthulunado	猪龙鱼公爵
387	Retanimini.png	小激光眼	Retanimini	魔眼法杖
388	Spazmamini.png	小魔焰眼	Spazmamini	魔眼法杖
389	Pink Laser.png	迷你视网膜激光	MiniRetinaLaser	小激光眼
390	Venom Spider.png	毒液蜘蛛	VenomSpider	蜘蛛法杖
391	Jumper Spider.png	跳跃蜘蛛	JumperSpider	蜘蛛法杖
392	Dangerous Spider.png	危险蜘蛛	DangerousSpider	蜘蛛法杖
393	One Eyed Pirate.png	独眼海盗	OneEyedPirate	海盗法杖
394	Soulscourge Pirate.png	恶魂海盗	SoulscourgePirate	海盗法杖
395	Pirate Captain (minion).png	海盗船长	PirateCaptain	海盗法杖
396	Slime Hook (projectile).png	史莱姆钩	SlimeHook	史莱姆钩
397	Sticky Grenade.png	粘性手榴弹	StickyGrenade	粘性手榴弹（抛出的）
398	Mini Minotaur.png	迷你牛头怪	MiniMinotaur	塔塔酱
399	Molotov Cocktail (projectile).png	莫洛托夫鸡尾酒	MolotovCocktail	莫洛托夫鸡尾酒（抛出的）
400	Greek Fire (large) (projectile).png	莫洛托夫之火 1	MolotovFire	莫洛托夫鸡尾酒
401	Greek Fire (medium) (projectile).png	莫洛托夫之火 2	MolotovFire2	莫洛托夫鸡尾酒
402	Greek Fire (small) (projectile).png	莫洛托夫之火 3	MolotovFire3	莫洛托夫鸡尾酒
403	Grappling Hook (projectile).png	轨道爪钩	TrackHook	抓上矿车轨道
404	Flairon (projectile).png	猪鲨链球	Flairon	猪鲨链球
405	Flairon Bubble.png	猪鲨链球泡泡	FlaironBubble	猪鲨链球
406	Slime Gun.png	史莱姆枪	SlimeGun	史莱姆枪
407	Sharknado (minion).gif	暴风雨	Tempest	暴风雨法杖
408	Mini Sharkron (animated).gif	迷你鲨鱼龙	MiniSharkron	暴风雨
409	Typhoon.gif	台风	Typhoon	利刃台风
410	Bubble Gun (projectile).png	泡泡	Bubble	泡泡枪
411	Copper Coin (placing) (projectile).png	铜币	CopperCoinsFalling	掉落的铜币
412	Silver Coin (placing) (projectile).png	银币	SilverCoinsFalling	掉落的银币
413	Gold Coin (placing) (projectile).png	金币	GoldCoinsFalling	掉落的金币
414	Platinum Coin (placing) (projectile).png	铂金币	PlatinumCoinsFalling	掉落的铂金币
415	Firework (Red).png	红烟花火箭	RocketFireworksBoxRed	烟花盒
416	Firework (Green).png	绿烟花火箭	RocketFireworksBoxGreen	烟花盒
417	Firework (Blue).png	蓝烟花火箭	RocketFireworksBoxBlue	烟花盒
418	Firework (Yellow).png	黄烟花火箭	RocketFireworksBoxYellow	烟花盒
419	Firework Fountain.png	烟花喷泉黄	FireworkFountainYellow	烟花喷泉
420	Firework Fountain.png	烟花喷泉红	FireworkFountainRed	烟花喷泉
421	Firework Fountain.png	烟花喷泉蓝	FireworkFountainBlue	烟花喷泉
422	Firework Fountain.png	烟花喷泉彩虹	FireworkFountainRainbow	烟花喷泉
423	UFO (minion).gif	UFO	UFOMinion	外星法杖
424	Meteor (1) (projectile).png	流星 1	Meteor1	流星法杖
425	Meteor (2) (projectile).png	流星 2	Meteor2	流星法杖
426	Meteor (3) (projectile).png	流星 3	Meteor3	流星法杖
427	Vortex Chainsaw.png	星旋链锯	VortexChainsaw	星旋链锯
428	Vortex Drill.png	星旋钻头	VortexDrill	星旋钻头
429	Nebula Chainsaw.png	星云链锯	NebulaChainsaw	星云链锯
430	Nebula Drill.png	星云钻头	NebulaDrill	星云钻头
431	Solar Flare Chainsaw.png	耀斑链锯	SolarFlareChainsaw	耀斑链锯
432	Solar Flare Drill.png	耀斑钻头	SolarFlareDrill	耀斑钻头
433	Lightning Orb Arc.png	UFO射线	UFOLaser	外星法杖、火星飞碟
434	Lightning Orb Arc.png	鳞甲怪激光	ScutlixLaserFriendly	扰脑器
435	Electric Bolt (animated).gif	电击矢	MartianTurretBolt	特斯拉炮塔
436	Brain Scrambling Bolt (animated).gif	扰脑矢	BrainScramblerBolt	扰脑怪
437	Gigazapper Spearhead.png	电击怪矛尖	GigaZapperSpear	电击怪
438	Laser Ray (projectile).png	激光射线	RayGunnerLaser	激光枪手
439	Laser Machinegun.png	激光机枪	LaserMachinegun	激光机枪
440	Laser (projectile).png	激光	LaserMachinegunLaser	激光机枪
441	Lightning Orb Arc.png	鳞甲怪准星	ScutlixLaserCrosshair	鳞甲怪坐骑
442	Electrosphere Missile.png	电圈导弹	ElectrosphereMissile	电圈发射器
443	Electrosphere.gif	电圈	Electrosphere	电圈导弹
444	Xenopopper (projectile).png	外星霰弹枪	Xenopopper	外星霰弹枪
445	Laser Drill (projectile).png	激光钻头	LaserDrill	激光钻头
446	Anti-Gravity Hook (projectile).png	反重力钩	AntiGravityHook	反重力钩
447	Martian Deathray.gif	火星死亡射线	SaucerDeathray	火星飞碟
448	Martian Rocket.gif	火星火箭	SaucerMissile	火星飞碟
449	Saucer Laser.png	飞碟激光	SaucerLaser	火星飞碟
450	Saucer Scrap.gif	飞碟残片	SaucerScrap	火星飞碟
451	Projectile 451.png	波涌之刃	InfluxWaver	波涌之刃
452	Phantasmal Eye.png	幻影眼	PhantasmalEye	月亮领主
453	Lightning Orb Arc.png	钻头准星	DrillMountCrosshair	钻头控制装置
454	Phantasmal Sphere.gif	幻影球	PhantasmalSphere	月亮领主
455	Phantasmal Deathray.png	幻影死亡射线	PhantasmalDeathray	月亮领主
456	Moon Leech.gif	月蛭	MoonLeech	月亮领主
457	Projectile 457.png	Phasic Warp Ejector	PhasicWarpEjector	Phasic Warp Ejector
458	Projectile 458.png	Phasic Warp Disc	PhasicWarpDisc	Phasic Warp Ejector
459	Charged Blaster Orb.gif	充能爆破珠	ChargedBlasterOrb	充能爆破炮
460	Charged Blaster Cannon.png	充能爆破炮	ChargedBlasterCannon	充能爆破炮
461	Charged Blaster Laser.png	充能爆破激光	ChargedBlasterLaser	充能爆破炮
462	Phantasmal Bolt.gif	幻影矢	PhantasmalBolt	月亮领主
463	Vicious Powder.png	毒粉	ViciousPowder	毒粉（抛出的）
464	Ice Mist.png	冰雪雾	CultistBossIceMist	拜月教邪教徒
465	Lightning Orb.gif	闪电珠	CultistBossLightningOrb	拜月教邪教徒
466	Lightning Orb Arc.png	闪电珠弧	CultistBossLightningOrbArc	拜月教邪教徒
467	Fireball.gif	火球	CultistBossFireBall	拜月教邪教徒
468	Shadow Fireball.gif	暗影火球	CultistBossFireBallClone	拜月教邪教徒
469	Bee Arrow.png	蜜蜂箭	BeeArrow	使用任意类型箭的蜂膝弓
470	Sticky Dynamite (projectile).png	粘性雷管	StickyDynamite	粘性雷管（抛出的）
471	Bone.png	骨头	SkeletonBone	骷髅商人
472	Web spit.png	蛛丝唾液	WebSpit	黑隐士、 丛林蜘蛛
473	Spelunker Glowstick (projectile).png	洞穴探险荧光棒	SpelunkerGlowstick	洞穴探险荧光棒（抛出的）
474	Bone Arrow.png	骨箭	BoneArrowFromMerchant	使用骨箭的任意标准弓/连弩
475	Vine Rope Coil (projectile).png	藤蔓绳圈	VineRopeCoil	藤蔓绳圈（抛出的）
476	Life Drain.png	夺命杖	SoulDrain	夺命杖
477	Crystal Dart.png	水晶镖	CrystalDart	使用水晶镖的吹管、吹箭筒、飞镖手枪、飞镖步枪
478	Cursed Dart.png	诅咒镖	CursedDart	使用诅咒镖的吹管、吹箭筒、飞镖手枪、飞镖步枪
479	Ichor Dart.png	灵液镖	IchorDart	使用灵液镖的吹管、吹箭筒、飞镖手枪、飞镖步枪
480	Cursed Dart.png	诅咒镖焰	CursedDartFlame	使用诅咒镖的吹管、吹箭筒、飞镖手枪、飞镖步枪
481	Chain Guillotine.png	铁链血滴子	ChainGuillotine	铁链血滴子
482	Clinger Staff (projectile).png	诅咒焰	ClingerStaff	爬藤怪法杖
483	Seedler (projectile).png	种子弯刀坚果	SeedlerNut	种子弯刀
484	Seedler (projectile 2).png	种子弯刀荆棘	SeedlerThorn	种子弯刀
485	Hellwing Bat.gif	地狱之翼	Hellwing	使用任意类型箭的地狱之翼弓
486	Tendon Hook (projectile).png	肌腱钩	TendonHook	肌腱钩
487	Thorn Hook (projectile).png	刺钩	ThornHook	刺钩
488	Illuminant Hook (projectile).png	荧光钩	IlluminantHook	荧光钩
489	Worm Hook (projectile).png	蠕虫钩	WormHook	蠕虫钩
490	Lightning Ritual.png	闪电祭礼	CultistRitual	拜月教邪教徒
491	Flying Knife.png	飞刀	FlyingKnife	飞刀
492	Magic Lantern (light pet).png	魔法灯笼	MagicLantern	魔法灯笼
493	Crystal Vile Shard Head.png	魔晶碎块头部	CrystalVileShardHead	魔晶碎块
494	Crystal Vile Shard Shaft.png	魔晶碎块杆部	CrystalVileShardShaft	魔晶碎块
495	Shadowflame Arrow.png	暗影焰箭	ShadowFlameArrow	使用任意类型箭的暗影焰弓
496	Shadowflame Hex Doll.png	暗影焰	ShadowFlame	暗影焰妖娃
497	Shadowflame Knife.png	暗影焰刀	ShadowFlameKnife	暗影焰刀
498	Nail (projectile).png	钉子（敌方）	Nail	钉头
499	Baby Face Monster.png	脸怪宝宝	BabyFaceMonster	骨头拨浪鼓
500	Crimson Heart (light pet).gif	猩红之心	CrimsonHeart	猩红之心（物品）
501	Flask.png	烧瓶	DrManFlyFlask	苍蝇人博士
502	Meowmere (projectile).png	彩虹猫之刃	Meowmere	彩虹猫之刃
503	Star Wrath (projectile).png	狂星之怒	StarWrath	狂星之怒
504	Butcher's Chainsaw.png	火花	Spark	屠夫链锯
505	Projectile 505.png	丝绸绳圈	SilkRopeCoil	丝绸绳圈（抛出的）
506	Projectile 506.png	蛛丝绳圈	WebRopeCoil	蛛丝绳圈（抛出的）
507	Javelin (projectile).png	标枪（友方）	JavelinFriendly	标枪（抛出的）
508	Javelin (projectile).png	标枪（敌方）	JavelinHostile	装甲步兵
509	Butcher's Chainsaw (animated).gif	屠夫链锯	ButchersChainsaw	屠夫链锯
510	Toxic Flask (projectile).png	毒气瓶	ToxicFlask	毒气瓶
511	Toxic Cloud (1) (projectile).png	毒云 1	ToxicCloud	毒气瓶
512	Toxic Cloud (2) (projectile).png	毒云 2	ToxicCloud2	毒气瓶
513	Toxic Cloud (3) (projectile).png	毒云 3	ToxicCloud3	毒气瓶
514	Nail2 (projectile).png	钉子（友方）	NailFriendly	钉枪
515	Bouncy Glowstick (projectile).png	弹力荧光棒	BouncyGlowstick	弹力荧光棒（抛出的）
516	Bouncy Bomb.png	弹力炸弹	BouncyBomb	弹力炸弹（抛出的）
517	Bouncy Grenade.png	弹力手榴弹	BouncyGrenade	弹力手榴弹（抛出的）
518	Coin Portal.gif	钱币传送门	CoinPortal	钱币传送门
519	Bomb Fish (projectile).gif	炸弹鱼	BombFish	炸弹鱼（抛出的）
520	Frost Daggerfish (projectile).png	寒霜飞鱼	FrostDaggerfish	寒霜飞鱼（抛出的）
521	Crystal Serpent.png	爆炸水晶 1	CrystalPulse	水晶蛇
522	Crystal Serpent.png	爆炸水晶 2	CrystalPulse2	水晶蛇
523	Toxic Bubble.png	毒泡	ToxicBubble	毒弹枪
524	Golden Shower (projectile).png	灵液溅弹	IchorSplash	舌锋剑
525	Flying Piggy Bank (animated).gif	飞猪存钱罐	FlyingPiggyBank	钱币槽
526	Lightning Orb Arc.png	能量	CultistBossParticle	神秘碑牌
527	Golden Cross Grave Marker.png	金十字墓石碑	RichGravestone1	任何物品栏内有 10 或更多的玩家死亡，或者，在硬核中，商人或税收官死亡
528	Golden Tombstone.png	金墓石	RichGravestone2	任何物品栏内有 10 或更多的玩家死亡，或者，在硬核中，商人或税收官死亡
529	Golden Grave Marker.png	金墓石碑	RichGravestone3	任何物品栏内有 10 或更多的玩家死亡，或者，在硬核中，商人或税收官死亡
530	Golden Gravestone.png	金墓碑	RichGravestone4	任何物品栏内有 10 或更多的玩家死亡，或者，在硬核中，商人或税收官死亡
531	Golden Headstone.png	金碑石	RichGravestone5	任何物品栏内有 10 或更多的玩家死亡，或者，在硬核中，商人或税收官死亡
532	XBone.png	交叉骨头	BoneGloveProj	使用骨头的骨头手套
533	Deadly Sphere minion.gif	致命球	DeadlySphere	致命球法杖
534	Code 1 (projectile).png	代码1球	Code1	代码1球
535	Medusa Head.png	蛇发女妖射线	MedusaHead	蛇发女妖头
536	Medusa Ray.png	蛇发女妖头射线	MedusaHeadRay	蛇发女妖头
537	Stardust Laser.png	星尘激光	StardustSoldierLaser	观星怪
538	Twinkle (projectile).png	闪耀怪	Twinkle	闪耀怪
539	Flow Invader Minion.gif	流体入侵怪	StardustJellyfishSmall	流体入侵怪
540	Starmark.png	星标	StardustTowerMark	星尘柱
541	Wooden Yoyo (projectile).png	木悠悠球	WoodYoyo	木悠悠球
542	Malaise (projectile).png	抑郁球	CorruptYoyo	抑郁球
543	Artery (projectile).png	血脉球	CrimsonYoyo	血脉球
544	Amazon (projectile).png	亚马逊球	JungleYoyo	亚马逊球
545	Cascade (projectile).png	喷流球	Cascade	喷流球
546	Chik (projectile).png	吉克球	Chik	吉克球
547	Code 2 (projectile).png	代码2球	Code2	代码2球
548	Rally (projectile).png	对打球	Rally	对打球
549	Yelets (projectile).png	叶列茨球	Yelets	叶列茨球
550	Red's Throw (projectile).png	Red的抛球	RedsYoyo	Red的抛球
551	Valkyrie Yoyo (projectile).png	女武神悠悠球	ValkyrieYoyo	女武神悠悠球
552	Amarok (projectile).png	冰雪悠悠球	Amarok	冰雪悠悠球
553	Hel-Fire (projectile).png	狱火球	HelFire	狱火球
554	Kraken (projectile).png	克拉肯球	Kraken	克拉肯球
555	The Eye of Cthulhu (projectile).png	克苏鲁之眼	TheEyeOfCthulhu	克苏鲁之眼
556	Black Counterweight (projectile).png	黑平衡锤	BlackCounterweight	黑平衡锤、悠悠球袋
557	Blue Counterweight (projectile).png	蓝平衡锤	BlueCounterweight	蓝平衡锤、悠悠球袋
558	Green Counterweight (projectile).png	绿平衡锤	GreenCounterweight	绿平衡锤、悠悠球袋
559	Purple Counterweight (projectile).png	紫平衡锤	PurpleCounterweight	紫平衡锤、悠悠球袋
560	Red Counterweight (projectile).png	红平衡锤	RedCounterweight	红平衡锤、悠悠球袋
561	Yellow Counterweight (projectile).png	黄平衡锤	YellowCounterweight	黄平衡锤、悠悠球袋
562	Format C (projectile).png	好胜球	FormatC	好胜球
563	Gradient (projectile).png	渐变球	Gradient	渐变球
564	Valor (projectile).png	英勇球	Valor	英勇球
565	Brain of Confusion (projectile).gif	混乱之脑	BrainOfConfusion	混乱之脑
566	Large Bee.gif	巨型蜜蜂	GiantBee	蜂巢背包
567	Spore Sac (projectile).png	孢子机关	SporeTrap	孢子囊
568	Spore Sac (projectile 2).png	孢子机关 2	SporeTrap2	孢子囊
569	Spore Sac (projectile 3).png	孢子毒气	SporeGas	孢子囊
570	Spore Sac (projectile 4).png	孢子毒气 2	SporeGas2	孢子囊
571	Spore Sac (projectile 5).png	孢子毒气 3	SporeGas3	孢子囊
572	Lightning Orb Arc.png	毒唾液	SalamanderSpit	蝾螈
573	Nebula Piercer.png	星云针弹	NebulaBolt	预言怪
574	Nebula Eye.png	星云之眼	NebulaEye	星云浮怪
575	Nebula Sphere.gif	星云球	NebulaSphere	进化兽
576	Nebula Laser (projectile).png	星云激光	NebulaLaser	星云浮怪
577	Vortex Laser (projectile).png	星旋激光	VortexLaser	漩泥怪
578	Lunar Portal.png	星旋闪电	VortexVortexLightning	星旋柱
579	Lunar Portal.png	星旋	VortexVortexPortal	星旋柱
580	Lightning Orb Arc.png	星旋闪电	VortexLightning	月亮传送门
581	Lightning Orb Arc.png	异星粘液	VortexAcid	异星蜂王
582	Mechanic's Wrench.png	机械师扳手	MechanicWrench	机械师
583	Poison Syringe.png	注射器	NurseSyringeHurt	护士
584	Healing Syringe.png	注射器	NurseSyringeHeal	护士
585	Shadowflame Skull.gif	骷髅头	ClothiersCurse	服装商
586	Leaf (projectile).gif	树妖庇护	DryadsWardCircle	树妖
587	Paintball Gun.png	彩弹	PainterPaintball	油漆工、彩弹枪
588	Confetti Grenade.png	彩纸手榴弹	PartyGirlGrenade	派对女孩
589	Christmas Ornament.png	圣诞装饰	SantaBombs	圣诞老人
590	Truffle Spore.gif	松露孢子	TruffleSpore	松露人
591	Minecart Laser.png	机械矿车激光	MinecartMechLaser	机械矿车
592	Laser Ray (projectile).png	激光射线	MartianWalkerLaser	火星走妖
593	Prophecy's End.gif	预言之末	AncientDoomProjectile	远古噩运妖
594	Lightning Orb Arc.png	爆炸烟	BlowupSmoke	被摧毁的荷兰飞盗船
595	Arkhalis.gif	Arkhalis剑	Arkhalis	Arkhalis剑
596	Spirit Flame (projectile).gif	沙漠幽魂诅咒	DesertDjinnCurse	沙漠幽魂
597	Ember Bolt.png	琥珀矢	AmberBolt	琥珀法杖
598	Bone Javelin (projectile).png	骨头标枪	BoneJavelin	骨头标枪（抛出的）
599	Bone Throwing Knife.png	骨刀	BoneDagger	骨投刀（抛出的）
600	Portal Gun.png	传送枪	PortalGun	传送枪
601	Portal Bolt.gif	传送矢	PortalGunBolt	传送枪、传送枪站
602	Portal Gate.gif	传送通道	PortalGunGate	传送矢
603	Terrarian Projectile 2.png	泰拉悠悠球	Terrarian	泰拉悠悠球
604	Terrarian Projectile.png	泰拉悠悠球光束	TerrarianBeam	泰拉悠悠球
605	Slime Spike.png	史莱姆尖刺	SpikedSlimeSpike	尖刺史莱姆
606	Laser2 (projectile).png	鳞甲怪激光	ScutlixLaser	鳞甲怪坐骑
607	Solar Flare (projectile).png	耀斑	SolarFlareRay	火龙怪
608	Lightning Orb Arc.png	日耀辐射	SolarCounter	日耀烈焰
609	Stardust Drill.png	星尘钻头	StardustDrill	星尘钻头
610	Stardust Chainsaw.png	星尘链锯	StardustChainsaw	星尘链锯
611	Solar Eruption (projectile).png	日耀喷发剑	SolarWhipSword	日耀喷发剑
612	Solar Explosion.gif	日耀爆炸	SolarWhipSwordExplosion	日耀喷发剑
613	Stardust Cell.gif	星尘细胞	StardustCellMinion	星尘细胞法杖
614	Stardust Cell (mini).gif	星尘细胞弹	StardustCellMinionShot	星尘细胞
615	Vortex Beater.gif	星旋机枪	VortexBeater	星旋机枪
616	Vortex Rocket.png	星旋火箭	VortexBeaterRocket	星旋机枪
617	Nebula Arcanum (projectile).png	星云奥秘	NebulaArcanum	星云奥秘
618	Vortex Rocket.png	星云奥秘副弹	NebulaArcanumSubshot	星云奥秘
619	Nebula Arcanum (projectile).png	星云奥秘爆炸弹	NebulaArcanumExplosionShot	星云奥秘
620	Nebula Arcanum (projectile).png	星云奥秘爆炸弹碎块	NebulaArcanumExplosionShotShard	星云奥秘
621	Blood Water.png	血水	BloodWater	血水（抛出的）
622	Lightning Orb Arc.png	爆炸烟月亮领主	BlowupSmokeMoonlord	被打败的月亮领主
623	Stardust Guardian minion.png	星尘守卫	StardustGuardian	星尘盔甲套装奖励
624	Lightning Orb Arc.png	爆星	StardustGuardianExplosion	无
625	Stardust Dragon (head) (projectile).png	星尘之龙 1	StardustDragon1	星尘之龙法杖
626	Stardust Dragon (body 1) (projectile).png	星尘之龙 2	StardustDragon2	星尘之龙法杖
627	Stardust Dragon (body 2) (projectile).png	星尘之龙 3	StardustDragon3	星尘之龙法杖
628	Stardust Dragon (tail) (projectile).png	星尘之龙 4	StardustDragon4	星尘之龙法杖
629	Lightning Orb Arc.png	释能	TowerDamageBolt	漩泥怪、星旋怪、异星蜂王、异星黄蜂、星细胞、流体入侵怪、闪耀炮手、银河织妖、观星怪、吮脑怪、进化兽、星云浮怪、预言怪、流星火怪、千足蜈蚣、火龙战士、火龙怪骑士、当相应天界柱存活时被打败的火月怪或火滚怪。
630	Phantasm.png	幻影弓	Phantasm	幻影弓
631	Phantasm Arrow.png	幻影弓箭	PhantasmArrow	幻影弓
632	Last Prism Beam.png	终极棱镜激光	LastPrismLaser	终极棱镜
633	Last Prism (projectile).gif	终极棱镜	LastPrism	终极棱镜
634	Nebula Blaze (projectile).gif	星云烈焰	NebulaBlaze1	星云烈焰
635	Nebula Blaze Ex.gif	星云烈焰·爆	NebulaBlaze2	星云烈焰
636	Daybreak (projectile).png	破晓之光	Daybreak	破晓之光
637	Bouncy Dynamite.png	弹力雷管	BouncyDynamite	弹力雷管（抛出的）
638	Luminite Bullet (projectile).png	夜明弹	MoonlordBullet	使用夜明弹的任意标准枪
639	Luminite Arrow.png	夜明箭	MoonlordArrow	使用夜明箭的任意标准弓/连弩
640	Luminite Arrow (projectile).png	夜明箭尾迹	MoonlordArrowTrail	夜明箭
641	Lunar Portal.png	月亮传送门	MoonlordTurret	月亮传送门法杖
642	Lunar Portal Laser.png	月亮传送门激光	MoonlordTurretLaser	月亮传送门
643	Rainbow Crystal.gif	七彩水晶	RainbowCrystal	七彩水晶法杖
644	Rainbow Explosion.png	七彩爆炸	RainbowCrystalExplosion	七彩水晶
645	Lunar Flare (projectile).gif	月耀	LunarFlare	月耀
646	Lunar Hook Solar Flare.png	月钩日耀	LunarHookSolar	月钩
647	Lunar Hook Vortex.png	月钩星旋	LunarHookVortex	月钩
648	Lunar Hook Nebula.png	月钩星云	LunarHookNebula	月钩
649	Lunar Hook Stardust.png	月钩星尘	LunarHookStardust	月钩
650	Suspicious Looking Eye (light pet).gif	可疑触手	SuspiciousTentacle	可疑触手
651	Wire Kite.png	线路蓝图	WireKite	宏伟蓝图
652	Static Hook Head.gif	静止钩	StaticHook	静止钩
653	Companion Cube (pet).png	同伴方块	CompanionCube	同伴方块
654	Flames (friendly) (projectile).png	热喷泉	GeyserTrap	热喷泉
655	Dislodgeable Beehive.png	蜂巢	BeeHive	蜂巢
656	Ancient Storm.png	远古风暴（友方）	SandnadoFriendly	禁戒标记
657	Ancient Storm.png	远古风暴（敌方）	SandnadoHostile	沙尘精
658	Rainbow Explosion.png	远古风暴遮罩	SandnadoHostileMark	沙尘精
659	Spirit Flame (projectile).gif	神灯烈焰	SpiritFlame	神灯烈焰
660	Sky Fracture (projectile).png	裂天剑	SkyFracture	裂天剑
661	Onyx Blaster (projectile).png	玛瑙爆破枪	BlackBolt	玛瑙爆破枪
662	Javelin 2.png	标枪	DD2JavelinHostile	埃特尼亚标枪投掷怪
663	Flameburst Tower.png	爆炸烈焰塔（1 级）	DD2FlameBurstTowerT1	爆炸烈焰魔杖
664	Flameburst Tower Shot.png	爆炸烈焰塔弹（1 级）	DD2FlameBurstTowerT1Shot	爆炸烈焰魔杖
665	Flameburst Tower 2.png	爆炸烈焰塔（2 级）	DD2FlameBurstTowerT2	爆炸烈焰手杖
666	Flameburst Tower Shot.png	爆炸烈焰塔弹（2 级）	DD2FlameBurstTowerT2Shot	爆炸烈焰手杖
667	Flameburst Tower 3.png	爆炸烈焰塔（3 级）	DD2FlameBurstTowerT3	爆炸烈焰法杖
668	Flameburst Tower Shot.png	爆炸烈焰塔弹（3 级）	DD2FlameBurstTowerT3Shot	爆炸烈焰法杖
669	Ale.png	麦芽酒	Ale	酒馆老板
670	Lightning Orb Arc.png	食人魔重踏	DD2OgreStomp	食人魔
671	Drakin Shot.png	德拉克龙弹	DD2DrakinShot	德拉克龙
672	Lightning Orb Arc.png	残酷末日	DD2ElderWins	被摧毁的永恒水晶
673	Dark Sigil.png	暗黑魔符	DD2DarkMageRaise	黑暗魔法师
674	Lightning Orb Arc.png	暗黑魔符	DD2DarkMageHeal	黑暗魔法师
675	Dark Energy.png	暗黑能量	DD2DarkMageBolt	黑暗魔法师
676	Ogre Spit.png	食人魔唾液	DD2OgreSpit	食人魔
677	Ballista.png	弩车（1 级）	DD2BallistraTowerT1	弩车魔杖
678	Ballista 2.png	弩车（2 级）	DD2BallistraTowerT2	弩车手杖
679	Ballista 3.png	弩车（3 级）	DD2BallistraTowerT3	弩车法杖
680	Ballista Shot.png	弩车弹	DD2BallistraProj	弩车魔杖、弩车手杖、弩车法杖
681	Goblin Bomb.png	哥布林炸弹	DD2GoblinBomb	埃特尼亚哥布林投弹手
682	Withering Bolt (animated).gif	枯萎矢	DD2LightningBugZap	埃特尼亚荧光虫
683	Lightning Orb Arc.png	食人魔重踏	DD2OgreSmash	食人魔
684	Flying Dragon (projectile).png	畅快猛斩	DD2SquireSonicBoom	飞龙
